pl_name,hostname,sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_year,disc_telescope,disc_instrument,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_dens,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,pl_imppar,pl_trandur,pl_ratror,st_spectype,st_teff,st_rad,st_mass,st_lum,st_logg,st_age,st_dens,rastr,ra,decstr,dec,sy_dist
11 Com b,11 Com,2,1,0,Radial Velocity,2007,2.16 m Telescope,Coude Echelle Spectrograph,0,323.21000000,1.178000,12.200,1.090,4914.89849,15.46400,14.900000,0.238000,,,0,,,,G8 III,4874.00,13.76,2.09,1.978,2.45,,,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,93.1846000
11 UMi b,11 UMi,1,1,0,Radial Velocity,2009,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,0,516.21997000,1.530000,12.300,1.090,4684.81420,14.74000,13.800000,0.080000,,,0,,,,K4 III,4213.00,29.79,2.78,2.430,1.93,1.560,,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,125.3210000
14 And b,14 And,1,1,0,Radial Velocity,2008,1.88 m Telescope,HIDES Echelle Spectrograph,0,186.76000000,0.775000,13.100,1.160,1131.15130,3.55900,2.760000,0.000000,,,0,,,,K0 III,4888.00,11.55,1.78,1.840,2.55,4.500,,23h31m17.80s,352.8241500,+39d14m09.01s,39.2358367,75.4392000
14 Her b,14 Her,1,2,0,Radial Velocity,2002,10 m Keck I Telescope,HIRES Spectrometer,0,1765.03890000,2.774000,12.600,1.120,2559.47216,8.05300,7.030000,0.373000,,,0,,,,K0 V,5338.00,0.93,0.91,-0.153,4.45,3.900,1.27393,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.9323000
16 Cyg B b,16 Cyg B,3,1,0,Radial Velocity,1996,Multiple Telescopes,Multiple Instruments,0,798.50000000,1.660000,13.500,1.200,565.73740,1.78000,1.260000,0.680000,,,0,,,,G3 V,5750.00,1.13,1.08,0.097,4.36,7.400,1.01103,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.1397000
17 Sco b,17 Sco,1,1,0,Radial Velocity,2020,Coude Auxiliary Telescope,Hamilton Echelle Spectrograph,0,578.38000000,1.450000,12.900,1.150,1373.01872,4.32000,3.510000,0.060000,,,0,,,,K3 III,4157.00,25.92,1.22,2.254,1.70,5.130,,16h13m50.90s,243.4620874,-11d50m16.05s,-11.8377905,124.9530000
18 Del b,18 Del,2,1,0,Radial Velocity,2008,1.88 m Telescope,HIDES Echelle Spectrograph,0,982.85000000,2.476000,12.500,1.120,2926.24614,9.20700,8.230000,0.024000,,,0,,,,G6 III,4980.00,8.80,2.10,1.634,2.87,1.100,,20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378,76.2220000
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,0,Imaging,2008,8.19 m Gemini North Telescope,NIRI Camera,0,,330.000000,18.647,1.664,3000.00000,8.00000,2.540000,,,1700,0,,,,K7 V,4060.00,1.31,0.85,-0.370,4.00,0.005,0.38789,16h09m30.30s,242.3762343,-21d04m59.31s,-21.0831403,139.1350000
24 Boo b,24 Boo,1,1,0,Radial Velocity,2018,1.88 m Telescope,HIDES Echelle Spectrograph,0,30.33000000,0.194000,13.900,1.240,280.64248,0.88300,0.574000,0.032000,,,0,,,,G3 IV,4816.00,12.19,1.05,1.877,2.28,6.920,,14h28m37.33s,217.1555242,+49d50m40.74s,49.8446488,95.9863000
24 Sex b,24 Sex,1,2,0,Radial Velocity,2010,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,0,452.80000000,1.333000,13.400,1.190,632.46000,1.99000,1.440000,0.090000,,,0,,,,K0 IV,5098.00,4.90,1.54,1.164,3.50,2.700,,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691000
24 Sex c,24 Sex,1,2,0,Radial Velocity,2010,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,0,883.00000000,2.080000,13.900,1.240,273.32000,0.86000,0.559000,0.290000,,,0,,,,K0 IV,5098.00,4.90,1.54,1.164,3.50,2.700,,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691000
2M0437 b,2MASS J04372171+2651014,1,1,0,Imaging,2021,8.2 m Subaru Telescope,Infrared Camera and Spectrograph (IRCS),0,,118.000000,13.000,1.160,1271.31363,4.00000,3.180000,,,1450,0,,,,M V,3100.00,0.84,0.17,-1.164,4.50,0.003,3.32018,04h37m21.73s,69.3405531,+26d51m01.08s,26.8502997,128.4840000
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,0,Imaging,2013,8.2 m ESO VLT UT4 Yepun Telescope,NACO Camera,0,,84.000000,12.300,1.100,4131.79000,13.00000,12.200000,,,,0,,,,M5.5/M6,,,0.19,,,0.030,,01h03m35.82s,15.8992489,-55d15m56.98s,-55.2658291,47.2000000
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,0,Imaging,2013,10 m Keck II Telescope,NIRC2 Camera,0,,52.000000,11.209,1.000,7786.50000,24.50000,30.400000,,,1600,0,,,,M3.5 V,3530.00,0.37,0.40,-1.720,4.86,0.120,10.11868,01h22m51.07s,20.7128012,-24d39m52.61s,-24.6646128,33.8281000
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,0,Imaging,2015,1.5 m CTIO Telescope,SIMON Near-Infrared Spectroimager,0,,156.000000,16.141,1.440,4417.83700,13.90000,5.770000,,,,0,,,,M6,3064.00,0.28,0.11,-2.230,4.59,0.035,17.67076,02h19m22.25s,34.8427046,-39d25m23.08s,-39.4230767,40.0896412
2MASS J0249-0557 c,2MASS J0249-0557 A,2,1,0,Imaging,2018,3.58 m Canada-France-Hawaii Telescope (CFHT),WIRCam,0,,1950.000000,12.400,1.110,3686.80952,11.60000,10.600000,,,,0,,,,M6 V,2859.00,0.32,0.05,-2.590,4.91,0.022,13.18121,02h49m56.44s,42.4851627,-05d57m35.97s,-5.9599921,66.0613000
2MASS J03590986+2009361 b,2MASS J03590986+2009361,1,1,0,Imaging,2024,1.45 m x 0.5 m Telescope,Gaia CCD array,0,,572.000000,12.200,1.080,5720.91133,18.00000,17.300000,,,2369,0,,,,,2943.00,0.29,0.26,-2.246,4.94,,15.35385,03h59m09.86s,59.7911026,+20d09m35.91s,20.1599759,117.4350000
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,0,Imaging,2010,2.4 m Hubble Space Telescope,WFPC2 Camera,0,,15.000000,12.600,1.130,2383.60000,7.50000,6.550000,,,,0,,,,M8.5,2936.00,0.23,0.02,-2.444,5.01,0.001,22.78110,04h41m44.91s,70.4371079,+23d01m51.08s,23.0308544,120.4239870
2MASS J11011926-7732383 b,2MASS J11011926-7732383,1,1,0,Imaging,2024,1.45 m x 0.5 m Telescope,Gaia CCD array,0,,266.000000,11.900,1.060,8899.19540,28.00000,29.000000,,,2677,0,,,,,,,,,,,,11h01m19.09s,165.3295388,-77d32m38.73s,-77.5440912,
2MASS J11550485-7919108 b,2MASS J11550485-7919108,1,1,0,Imaging,2024,1.45 m x 0.5 m Telescope,Gaia CCD array,0,,587.000000,12.100,1.080,6356.56814,20.00000,19.700000,,,2506,0,,,,,3021.00,0.60,0.59,-1.568,4.65,,3.83213,11h55m04.60s,178.7691634,-79d19m11.12s,-79.3197558,100.8620000
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,0,Imaging,2004,8.2 m ESO VLT UT4 Yepun Telescope,NACO Camera,0,,55.000000,12.900,1.150,1589.15000,5.00000,4.070000,,,1250,0,,,,M8,2825.00,0.22,0.02,-2.561,5.03,0.008,25.27945,12h07m33.38s,181.8890906,-39d32m54.38s,-39.5484399,64.3080000
