Table Label,Description
Default Parameter Set,"Boolean flag indicating whether given set of planet 
      parameters has been selected as default (1=yes, 0=no)"
Solution Type,Disposition of planet according to given planet parameter set
Controversial Flag,"Flag indicating whether the confirmation status of a planet 
      has been questioned in the published literature (1=yes, 0=no)"
Planet Name,Planet name most commonly used in the literature
Host Name,Stellar name most commonly used in the literature
Planet Letter,Letter assigned to the planetary component of a planetary system
HD ID,Name of the star as given by the Henry Draper Catalog
HIP ID,Name of the star as given by the Hipparcos Catalog
TIC ID,Name of the star as given by the TESS Input Catalog
GAIA ID,Name of the star as given by the Gaia Catalog
Number of Stars,Number of stars in the planetary system
Number of Planets,Number of confirmed planets in the planetary system
Number of Moons,Number of moons in the planetary system
Circumbinary Flag,"Flag indicating whether the planet orbits a binary system (1=yes, 0=no)"
Discovery Method,Method by which the planet was first identified
Discovery Year,Year the planet was discovered
Discovery Reference,Reference name for discovery publication
Discovery Publication Date,Publication Date of the planet discovery referee publication
Discovery Locale,Location of observation of planet discovery (Ground or Space)
Discovery Facility,Name of facility of planet discovery observations
Discovery Telescope,Name of telescope of planet discovery observations
Discovery Instrument,Name of instrument of planet discovery observations
Detections by Radial Velocity Variations,"Flag indicating if the planet host star exhibits 
          radial velocity variations due to the planet (1=yes, 0=no)"
Detected by Pulsar Timing Variations,"Boolean flag indicating if the planet host star exhibits 
        pulsar timing variations due to the planet (1=yes, 0=no)"
Detected by Pulsation Timing Variations,"Boolean flag indicating if the planet host star exhibits 
        pulsation timing variations due to the planet (1=yes, 0=no)"
Detected by Transits,"Flag indicating if the planet transits its host star (1=yes, 0=no)"
Detected by Astrometric Variations,"Flag indicating if the planet host star exhibits 
        astrometrical variations due to the planet (1=yes, 0=no)"
Detected by Orbital Brightness Modulations,"Flag indicating whether the planet exhibits orbital 
        modulations on the phase curve (1=yes, 0=no)"
Detected by Microlensing,"Boolean flag indicating if the planetary system acted as 
        a lens during an observed microlensing event (1=yes, 0=no)"
Detected by Eclipse Timing Variations,"Flag indicating whether a circumbinary planet that orbits 
an eclipsing binary induces eclipse timing variations (ETVs) 
in the binary pair (1=yes, 0=no)"
Detected by Imaging,"Flag indicating if the planet has been observed 
        via imaging techniques (1=yes, 0=no)"
Detection by Disk Kinematics,"Boolean flag indicating if the presence of the 
        planet was inferred due to its kinematic influence 
        on the protoplanetary disk of its host star (1=yes, 0=no)"
Planetary Parameter Reference,Reference of publication used for given planet parameter set
Orbital Period [days],"Time the planet takes to make a complete orbit 
around the host star or system"
Orbital Period Reference,Reference of publication used for given planet parameter set
Orbit Semi-Major Axis [au],"The longest radius of an elliptic orbit, or, for exoplanets 
detected via gravitational microlensing or direct imaging, 
the projected separation in the plane of the sky"
Orbit Semi-Major Axis Reference,Reference of publication used for given parameter set
Stellar Parameter Reference,Reference of publication used for given stellar parameter set
Spectral Type,"Classification of the star based on their spectral 
characteristics following the Morgan-Keenan system"
Spectral Type Reference,Reference of publication used for given parameter set
Stellar Effective Temperature [K],"Temperature of the star as modeled by a black body 
emitting the same total amount of electromagnetic radiation"
Stellar Effective Temperature [K] Reference,Reference of publication used for given parameter set
Stellar Radius [Solar Radius],"Length of a line segment from the center of the star 
to its surface, measured in units of radius of the Sun"
Stellar Radius [Solar Radius] Reference,Reference of publication used for given parameter set
Stellar Mass [Solar mass],"Amount of matter contained in the star, 
measured in units of masses of the Sun"
Stellar Mass [Solar mass] Reference,Reference of publication used for given parameter set
Stellar Metallicity [dex],"Measurement of the metal content of the photosphere 
of the star as compared to the hydrogen content"
Stellar Metallicity [dex] Reference,Reference of publication used for given parameter set
Stellar Metallicity Ratio,"Ratio for the Metallicity Value ([Fe/H] denotes iron 
abundance, [M/H] refers to a general metal content)"
Stellar Luminosity [log10(Solar)],"Amount of energy emitted by a star per unit time, 
measured in units of solar luminosities"
Stellar Luminosity [log10(Solar)] Reference,Reference of publication used for given parameter set
Stellar Surface Gravity [log10(cm/s**2)],Gravitational acceleration experienced at the stellar surface
Stellar Surface Gravity [log10(cm/s**2)] Reference,Reference of publication used for given parameter set
Stellar Age [Gyr],The age of the host star
Stellar Age [Gyr] Reference,Reference of publication used for given parameter set
Stellar Density [g/cm**3],Amount of mass per unit of volume of the star
Stellar Density [g/cm**3] Reference,Reference of publication used for given parameter set
