Planet Name,Host Name,Number of Stars,Number of Planets,Number of Moons,Discovery Method,Discovery Year,Discovery Telescope,Discovery Instrument,Controversial Flag,Orbital Period [days],Orbit Semi-Major Axis [au],Planet Radius [Earth Radius],Planet Radius [Jupiter Radius],Planet Mass or Mass*sin(i) [Earth Mass],Planet Mass or Mass*sin(i) [Jupiter Mass],Planet Density [g/cm**3],Eccentricity,Insolation Flux [Earth Flux],Equilibrium Temperature [K],Data show Transit Timing Variations,Impact Parameter,Transit Duration [hours],Ratio of Planet to Stellar Radius,Stellar Effective Temperature [K],Stellar Radius [Solar Radius],Stellar Mass [Solar mass],Stellar Luminosity [log(Solar)],Stellar Surface Gravity [log10(cm/s**2)],Stellar Age [Gyr],Stellar Density [g/cm**3],RA [sexagesimal],RA [deg],Dec [sexagesimal],Dec [deg],Distance [pc]
55 Cnc e,55 Cnc,2,5,0,Radial Velocity,2004,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,0,0.7365474,0.01544,1.875,0.167,7.99,0.02514,6.66,0.05,2657.83,1958.0,0,0.39,1.555016,0.0182,5172.0,0.94,0.91,-0.197,4.43,10.2,1.5212,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855
AU Mic b,AU Mic,1,3,0,Transit,2020,0.1 m TESS Telescope,TESS CCD Array,0,8.4629991,0.0645,3.957,0.353,20.12,0.0633,1.32,0.186,21.2,600.0,1,0.18,3.4927,0.0496,3665.0,0.82,0.5,-0.99,4.4,0.019,1.75,20h45m09.87s,311.2911369,-31d20m32.82s,-31.34245,9.7221
AU Mic c,AU Mic,1,3,0,Transit,2021,0.1 m TESS Telescope,TESS CCD Array,0,18.858991,0.1101,3.24,0.289,9.6,0.0302,1.22,0.00338,7.3,459.0,0,0.3,4.236,0.0395,3665.0,0.82,0.5,-0.99,4.4,0.019,1.75,20h45m09.87s,311.2911369,-31d20m32.82s,-31.34245,9.7221
BD-14 3065 b,BD-14 3065 A,3,1,0,Transit,2024,0.1 m TESS Telescope,TESS CCD Array,0,4.2889731,0.0656,21.59,1.926,3932.0,12.37,2.15,0.066,646.76,2001.0,0,0.9099,3.086,0.0843,6935.0,2.35,1.41,1.06,3.85,2.24,0.223,10h14m40.72s,153.6696689,-15d38m34.21s,-15.6428372,589.423
CoRoT-1 b,CoRoT-1,1,1,0,Transit,2008,0.27 m CoRoT Telescope,CoRoT CCD Array,0,1.5089557,0.02752,16.7,1.49,327.35,1.03,0.38,0.0,2852.63,1898.0,0,0.35,2.373,0.1388,5950.0,1.11,0.95,0.298,4.25,1.6,0.93,06h48m19.17s,102.0798591,-03d06m07.70s,-3.1021394,787.909
CoRoT-12 b,CoRoT-12,1,1,0,Transit,2010,0.27 m CoRoT Telescope,CoRoT CCD Array,0,2.828042,0.04016,16.14,1.44,291.438,0.917,0.411,0.07,661.13,1442.0,0,0.573,2.57424,0.1314,5675.0,1.12,1.08,0.07,4.38,6.3,1.08,06h43m03.76s,100.7656871,-01d17m47.20s,-1.2964437,1126.37
CoRoT-13 b,CoRoT-13,1,1,0,Transit,2010,0.27 m CoRoT Telescope,CoRoT CCD Array,0,4.03519,0.051,9.92,0.885,415.704,1.308,2.34,0.0,546.53,1700.0,0,0.374,3.14,0.0909,5945.0,1.01,1.09,0.073,4.46,1.635,1.468,06h50m53.07s,102.7211432,-05d05m11.24s,-5.0864557,1148.93
CoRoT-18 b,CoRoT-18,1,1,0,Transit,2011,0.27 m CoRoT Telescope,CoRoT CCD Array,0,1.9000693,0.0295,14.68,1.31,1102.82,3.47,2.2,0.08,823.7,1550.0,0,0.4,2.387,0.1341,5440.0,1.0,0.95,-0.17,4.4,0.032,1.35,06h32m41.38s,98.1724172,-00d01m53.78s,-0.0316045,764.889
CoRoT-19 b,CoRoT-19,1,1,0,Transit,2011,0.27 m CoRoT Telescope,CoRoT CCD Array,0,3.89713,0.0518,14.46,1.29,352.78,1.11,0.71,0.047,1103.81,2000.0,0,0.24,4.7,0.0786,6090.0,1.65,1.21,0.544,4.07,5.0,0.38,06h28m08.06s,97.0335983,-00d10m14.63s,-0.1707293,790.663
CoRoT-2 b,CoRoT-2,2,1,0,Transit,2008,0.27 m CoRoT Telescope,CoRoT CCD Array,0,1.7429935,0.02798,16.432,1.466,1102.82,3.47,1.47,0.0143,932.91,1521.0,1,0.221,2.26704,0.1667,5625.0,0.91,0.96,-0.131,4.53,2.7,1.814,19h27m06.49s,291.7770457,+01d23m01.19s,1.3836634,213.283
CoRoT-20 b,CoRoT-20,1,2,0,Transit,2011,0.27 m CoRoT Telescope,CoRoT CCD Array,0,9.24285,0.09,9.416,0.84,1366.669,4.3,8.87,0.59,180.87,1024.0,0,0.26,2.2248,0.0842,5880.0,1.02,1.14,0.17,4.35,0.1,1.51,06h30m52.90s,97.7204249,+00d13m36.82s,0.2268931,844.061
CoRoT-5 b,CoRoT-5,1,1,0,Transit,2009,0.27 m CoRoT Telescope,CoRoT CCD Array,0,4.0378962,0.04947,15.558,1.388,148.42,0.467,0.217,0.09,786.29,1438.0,0,0.755,2.9331124,0.1155,6100.0,1.19,1.0,0.18,4.19,6.9,1.01,06h45m06.54s,101.2772396,+00d48m54.78s,0.8152163,882.472
EPIC 211822797 b,EPIC 211822797,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,21.1701963,0.1195,1.92,0.171,4.35,0.0137,3.38,0.06,3.5,431.0,0,0.38,3.576,0.0303,4057.0,0.58,0.62,-1.153,4.7,0.79,3.87972,08h41m38.45s,130.4102091,+17d38m23.91s,17.6399744,186.197
EPIC 211945201 b,EPIC 211945201,1,1,0,Transit,2018,0.95 m Kepler Telescope,Kepler CCD Array,0,19.49221,0.1493,5.76,0.514,27.0,0.08495,0.65,0.0,31.91,817.0,0,0.58,3.91,0.0379,6069.0,1.39,1.17,0.373,4.22,3.99,2.253,09h06m17.81s,136.5741931,+19d24m07.40s,19.4020565,181.69
EPIC 220674823 b,EPIC 220674823,1,2,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,0.571292,0.01326,1.725,0.154,8.21,0.02583,8.77,0.0,4670.0,2300.0,0,0.18,1.532,0.01601,5532.0,0.99,0.95,-0.119,4.45,7.5,1.35,00h52m19.21s,13.0800239,+10d47m40.94s,10.7947051,244.59
EPIC 220674823 c,EPIC 220674823,1,2,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,13.3397,0.1083,2.836,0.253,8.9,0.028,2.12,0.13,70.0,805.0,0,0.31,3.4392,0.028,5532.0,0.99,0.95,-0.119,4.45,7.5,1.35,00h52m19.21s,13.0800239,+10d47m40.94s,10.7947051,244.59
EPIC 229004835 b,EPIC 229004835,1,1,0,Transit,2023,0.95 m Kepler Telescope,Kepler CCD Array,0,16.141132,0.1237,2.332,0.208,10.4,0.03272,4.49,0.23,69.7,804.0,0,0.38,2.1,0.0184,5868.0,1.0,0.97,0.03,4.47,4.9,1.52564,12h25m56.65s,186.4860415,-01d24m17.00s,-1.4047214,121.971
EPIC 249893012 b,EPIC 249893012,1,3,0,Transit,2020,0.95 m Kepler Telescope,Kepler CCD Array,0,3.5951,0.047,1.95,0.174,8.75,0.02753,6.39,0.06,1037.0,1616.0,0,0.42,4.33,0.0104,5430.0,1.71,1.05,0.356,3.99,9.0,0.298,15h12m59.58s,228.2482353,-16d43m28.73s,-16.7246474,321.296
EPIC 249893012 c,EPIC 249893012,1,3,0,Transit,2020,0.95 m Kepler Telescope,Kepler CCD Array,0,15.624,0.13,3.67,0.327,14.67,0.04616,1.62,0.07,160.0,990.0,0,0.6,6.37,0.0197,5430.0,1.71,1.05,0.356,3.99,9.0,0.298,15h12m59.58s,228.2482353,-16d43m28.73s,-16.7246474,321.296
